harga,lokasi,luas_bangunan,luas_tanah,kamar,kamar_mandi,listrik,interior,parkir,sertifikat
2525000000,Yogyakarta,162,215,4,3,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1250000000,Sleman,100,134,3,2,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
690000032,Sleman,60,83,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
585000000,Sleman,50,105,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
575000000,Bantul,90,115,3,3,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1400000000,Sleman,200,130,3,2,3500,Tak Berperabot,1,SHGB - Hak Guna Bangunan
1691090920,Sleman,164,115,6,4,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
7500000000,Sleman,600,312,10,10,900,Tak Berperabot,6,SHM - Sertifikat Hak Milik
442000000,Bantul,45,105,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
285000000,Sleman,36,60,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
585000000,Sleman,50,115,2,1,1300,Sebagian,2,SHGB - Hak Guna Bangunan
1130929000,Sleman,100,90,3,4,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
2525000000,Yogyakarta,162,215,4,3,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
5000000000,Sleman,200,451,5,4,3500,Sebagian,2,SHM - Sertifikat Hak Milik
1130289000,Sleman,100,90,4,3,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
665000000,Sleman,51,104,2,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
450000000,Bantul,62,128,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1400000000,Sleman,90,200,3,2,2200,Tak Berperabot,3,SHM - Sertifikat Hak Milik
1800000000,Sleman,159,108,5,4,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
2130909200,Sleman,171,120,5,4,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
699000000,Sleman,75,119,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
575000000,Sleman,45,100,2,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
785000000,Sleman,100,130,3,2,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
4300000000,Sleman,400,220,5,5,3500,Tak Berperabot,2,SHM - Sertifikat Hak Milik
2525000000,Yogyakarta,162,215,4,3,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
865000000,Sleman,90,113,3,1,1300,Sebagian,2,SHM - Sertifikat Hak Milik
6300000000,Sleman,350,524,10,7,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
18200000000,Yogyakarta,600,1300,8,6,3500,Tak Berperabot,2,SHM - Sertifikat Hak Milik
6000000000,Sleman,500,1000,7,5,7700,Tak Berperabot,3,SHGB - Hak Guna Bangunan
280000000,Sleman,36,66,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
400000000,Sleman,36,90,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
355000000,Bantul,42,63,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1500000000,Sleman,120,156,4,3,2200,Lengkap,2,SHM - Sertifikat Hak Milik
264000000,Sleman,34,69,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1400000000,Sleman,140,214,4,3,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
450000000,Sleman,36,90,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
415000000,Bantul,45,80,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
918344400,Bantul,65,153,3,2,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1465850000,Sleman,95,133,4,3,3500,Tak Berperabot,2,SHM - Sertifikat Hak Milik
